Generation,a,b,af,bf,as,bs,e
16.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
16.0,2.0,14.263675883408117,4.431016240733655,21.52438758499629,3.4267254007390915,40.0,3.238119802823963
17.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
17.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
17.0,2.2458983582821577,17.07181484150702,4.355147219074707,10.121493068310516,2.3095689170862324,40.0,2.7464143406591237
17.0,2.400876228334149,17.79406352410505,4.139790009524465,18.58573521079857,2.6233433533024937,39.552876128573736,2.9424528685216065
18.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
18.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
18.0,2.310268795709083,20.8559850335101,4.315091787912855,17.96128529881735,2.2964180936035397,40.0,2.943268733899472
18.0,2.1559454937927924,20.897381115908377,4.743476098230843,9.670892380353026,2.2501268471553653,40.0,3.078229475629699
19.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
19.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
19.0,2.310268795709083,20.8559850335101,4.315091787912855,17.96128529881735,2.2964180936035397,40.0,2.943268733899472
19.0,2.08391451928768,20.428569550187557,4.3440185070258694,19.86230151345623,2.0,40.0,2.8266735477257923
20.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
20.0,2.08391451928768,20.428569550187557,4.3440185070258694,19.86230151345623,2.0,40.0,2.8266735477257923
20.0,2.480423744345264,12.907051739927038,4.405263031881913,15.224704107574201,2.818940215792111,36.091920336977154,2.913866903323669
